Type;Statut;Complément;Date de réalisation;Longueur;Date de pérennisation;geo_shape;geo_point_2d
Piste cyclable temporaire;Réalisé;ligne 1 et RER A;2020-05-17;3689.35319491;;"{""type"": ""LineString"", ""coordinates"": [[2.323035000459435, 48.865934000155065], [2.323194000248836, 48.86613200012689], [2.323279999953593, 48.866222000139224], [2.323394999664586, 48.866278999742626], [2.323490000053387, 48.866303999874994], [2.323677000018257, 48.86631299975613], [2.324133000398093, 48.86626099977044], [2.324201999885955, 48.86624499971293], [2.324984000524203, 48.865985999650974], [2.325966999453835, 48.86566899999015], [2.327230000286256, 48.865265999860945], [2.329259999683453, 48.8646060001609], [2.330075999588597, 48.864342999585716], [2.330195000469835, 48.86430299987458], [2.3313080005671623, 48.86394099958434], [2.331585999438148, 48.86385099989642], [2.331765999649839, 48.863792999798015], [2.332054999729531, 48.86370600040938], [2.332157999769735, 48.863668999593266], [2.332352999550991, 48.863603999950186], [2.333736999954845, 48.86315099963137], [2.334950999336193, 48.86275900013904], [2.335051999835697, 48.862722000100526], [2.335171000325346, 48.86268400006932], [2.335218000221905, 48.86267200034596], [2.335332000122654, 48.86264899958014], [2.33545999994199, 48.862607000377935], [2.335674999471317, 48.86254100016044], [2.335846999945987, 48.86248900031196], [2.336195000098279, 48.862383000320015], [2.336574000477494, 48.862263000141915], [2.336965999719805, 48.86213500002843], [2.338778000032531, 48.86155199961984], [2.339098999557281, 48.86142899987506], [2.339163999925971, 48.861409000272886], [2.339769999763467, 48.86120999974722], [2.340477999876437, 48.86098000017017], [2.340806999928554, 48.86086700020131], [2.341172000563598, 48.86075399966686], [2.342000000313227, 48.86047999985857], [2.342139999389088, 48.860437000031816], [2.342322999406334, 48.860378000421484], [2.343392000014264, 48.86003400039954], [2.343952000650437, 48.85985300010678], [2.344118000195371, 48.85980100040868], [2.344778000380324, 48.85959199982448], [2.345152000202501, 48.8594679995733], [2.345637000600582, 48.85930899991739], [2.346384000129274, 48.85906300013639], [2.347440000315032, 48.85872100000948], [2.348122000613932, 48.858500000140545], [2.348196000239758, 48.85847500018738], [2.348345999647912, 48.85842700039762], [2.349061999527971, 48.858194999577705], [2.349610999432039, 48.85801999968081], [2.349644999690442, 48.858009000149956], [2.350173999609265, 48.85783399958452], [2.351180999487347, 48.857519000020666], [2.351360999692492, 48.857466000426435], [2.35146200001634, 48.85743599961673], [2.352326999476944, 48.85725400000927], [2.353810000596474, 48.85690999997317], [2.354954000439374, 48.85664099966345], [2.355415999429421, 48.85653200027818], [2.356585999884238, 48.8562559997613], [2.3571020005827332, 48.85612500009855], [2.357954000336982, 48.855928000322756], [2.358952999819671, 48.85568599970914], [2.359671000483546, 48.85551799961977], [2.36006900049719, 48.85543200042506], [2.361010000271115, 48.85520900040154], [2.361135999634289, 48.8551769997467], [2.361655999989448, 48.855054999804295], [2.361895000333445, 48.8549829999003], [2.362239999545352, 48.85484900022885], [2.362285999888181, 48.85480900030817], [2.362324000048035, 48.85476900000413], [2.362612999511755, 48.85465700022593], [2.362710999970826, 48.85461600003957], [2.362900999906586, 48.85454000032484], [2.362993999815462, 48.85450599991597], [2.363577999749844, 48.854293000410635], [2.363698999668124, 48.85424800000535], [2.363789999536416, 48.8542199996076], [2.364647000163529, 48.85395200006115], [2.36472299966039, 48.85392799966202], [2.364842999581112, 48.85389399995715], [2.364924999639153, 48.853870999883846], [2.365622000629449, 48.853675999728694], [2.365709000575608, 48.85365599978326], [2.3664400006730473, 48.85349200038451], [2.366515000444235, 48.85347500040608], [2.367122999595208, 48.85339699997126], [2.3675170002412482, 48.85334900014211], [2.3676260003886282, 48.853326999816424], [2.368187000558801, 48.853253999599396], [2.368287000010702, 48.853231999710204], [2.368409999435274, 48.853186999692944], [2.368573000433866, 48.85316799957991], [2.368645999566625, 48.85315900004024]]}";48.859526685,2.34570712369
Piste cyclable temporaire;Réalisé;ligne 1 et RER A;2020-05-29;1374.2892373;;"{""type"": ""LineString"", ""coordinates"": [[2.394361210142564, 48.84861041227104], [2.383779240036337, 48.85021267959813], [2.381432921167872, 48.85039170198742], [2.380119511206716, 48.85045072733454], [2.378555416264285, 48.85069515309092], [2.376132160154664, 48.85128898445373]]}";48.8499105119,2.38523359094
Piste cyclable temporaire;Réalisé;;2020-06-18;1666.8694639;;"{""type"": ""LineString"", ""coordinates"": [[2.387543842852828, 48.86293709084981], [2.387227369806653, 48.86285607237506], [2.386863635811792, 48.862891763288985], [2.386193947812476, 48.86303510499867], [2.36571909597571, 48.86693219816276]]}";48.8648559963,2.37663281882
Piste cyclable temporaire;A venir;;;2069.95216272;;"{""type"": ""LineString"", ""coordinates"": [[2.369931924088486, 48.88266740065217], [2.369235781847821, 48.8825164079938], [2.361992014827123, 48.88061323218666], [2.358760194088496, 48.87975833014735], [2.35420750116993, 48.878567517208694], [2.353950365392516, 48.87850632507517], [2.347260455409995, 48.876758126971495], [2.343693501627131, 48.87581246845989]]}";48.8792544694,2.35680921806
Piste cyclable temporaire;A venir;;;849.37907097;;"{""type"": ""LineString"", ""coordinates"": [[2.369110533220569, 48.82161440970689], [2.359879507696872, 48.82621880093118]]}";48.8239166053,2.36449502046
Piste cyclable temporaire;Réalisé;;2020-07-04;280.86602554;;"{""type"": ""LineString"", ""coordinates"": [[2.412091999380038, 48.854640999731465], [2.413044801192274, 48.854317569258086], [2.413147175586291, 48.8544269428099], [2.413304046205252, 48.85452710705241], [2.413494941246845, 48.854597751298115], [2.413784592213361, 48.85463820415221], [2.413969367166888, 48.85462818666941], [2.414234192566345, 48.854565957081995], [2.414409446531732, 48.85447950804573], [2.414545546183676, 48.85436673574356], [2.414621447672965, 48.85425699458173], [2.415339718712269, 48.85437887122629]]}";48.8544680159,2.41371576641
Piste cyclable temporaire;Réalisé;ligne 1 et RER A;2020-05-14;961.37427999;;"{""type"": ""LineString"", ""coordinates"": [[2.28449600012996, 48.87711799987758], [2.28395399932116, 48.87721799990776], [2.282714999535991, 48.87680500016684], [2.281782000290939, 48.87686400044101], [2.28097700014434, 48.87746699963995], [2.2807279998097982, 48.87804999992384], [2.27979500054179, 48.878438999657696], [2.279797000650204, 48.87862299966516], [2.280428000552523, 48.878567999734784], [2.280999000478731, 48.878623999653115], [2.281459999608122, 48.8787730002285], [2.28177099988984, 48.87877300035204], [2.283220000158805, 48.878342000200846], [2.283842000032852, 48.87817299998649], [2.284217000373033, 48.878166000237464], [2.284754000443124, 48.87796099995741], [2.284303000541403, 48.87759499968733], [2.284603999811903, 48.8771859996909]]}";48.8778715847,2.28232990431
Piste cyclable temporaire;Réalisé;ligne 1 et RER A;2020-05-28;982.07568539;;"{""type"": ""LineString"", ""coordinates"": [[2.410780721860123, 48.847171416176074], [2.39753058094479, 48.84840961832155]]}";48.8477905172,2.4041556514
Piste cyclable temporaire;Réalisé;;2020-08-25;459.63398414;;"{""type"": ""LineString"", ""coordinates"": [[2.404383217456771, 48.871703230710594], [2.408448243838966, 48.87286367553303], [2.41013825234969, 48.8733383949385]]}";48.8725233389,2.40726001956
Piste cyclable temporaire;Réalisé;;2020-08-05;816.26776967;;"{""type"": ""LineString"", ""coordinates"": [[2.265010812064963, 48.83425524246705], [2.265439355588259, 48.83463076968876], [2.265625916306607, 48.834741650129665], [2.266473278403799, 48.835595615230424], [2.267533737506527, 48.83650138487679], [2.268799337799375, 48.83814762226765], [2.2693848469173172, 48.83887100496207], [2.270548819091184, 48.840103693407045], [2.270816334702189, 48.84026721146804], [2.271055631461036, 48.84035357157141]]}";48.8373058503,2.26804991014
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-24;683.72192714;;"{""type"": ""LineString"", ""coordinates"": [[2.315236203999567, 48.857963168711336], [2.315160428593852, 48.8572948335019], [2.315115166652059, 48.85689560738502], [2.315031767310078, 48.85615999471045], [2.314511617407356, 48.851832936905964]]}";48.8548975519,2.31487819941
Piste cyclable temporaire;A venir;;;209.98996704;;"{""type"": ""LineString"", ""coordinates"": [[2.313737999931314, 48.86468700026716], [2.313437000055338, 48.86280899966782]]}";48.863748,2.31358749999
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-05;403.04161021;;"{""type"": ""LineString"", ""coordinates"": [[2.327360999507364, 48.883668000180876], [2.325757166079223, 48.887134782395506]]}";48.8854013913,2.32655908279
Piste cyclable pérenne;Réalisé;;2020-08-20;474.64848275;2020-08-20;"{""type"": ""LineString"", ""coordinates"": [[2.2519407242455918, 48.838606283851625], [2.252489999478234, 48.83813099960557], [2.253644770611996, 48.8367666396497], [2.255187692678544, 48.83492101459493]]}";48.8367997876,2.25360117174
Piste cyclable temporaire;Réalisé;;2020-08-30;330.31234623;;"{""type"": ""LineString"", ""coordinates"": [[2.256381936689441, 48.8381626228355], [2.256089111554134, 48.838217537393845], [2.25520125037254, 48.838330605864655], [2.254093339508411, 48.838421381697614], [2.252648907578294, 48.83852458813511], [2.252218433779992, 48.838551382965285], [2.2519407242455918, 48.838606283851625]]}";48.8384031099,2.25416300816
Piste cyclable temporaire;Réalisé;;2020-06-18;424.57558083;;"{""type"": ""LineString"", ""coordinates"": [[2.298915036788387, 48.87824229008905], [2.298646575874535, 48.87810643640278], [2.298330730037765, 48.87782277138145], [2.298196638574512, 48.87773534391745], [2.297925112013468, 48.87775825520386], [2.296002000444537, 48.87510800030557]]}";48.8768273721,2.29734739477
