Date de livraison,Longueur du tronçon en m,Running total
2018-12-25,219.0,9291.0
2018-12-26,219.0,9291.0
2018-12-27,219.0,9291.0
2018-12-28,219.0,9291.0
2018-12-29,219.0,9291.0
2018-12-30,219.0,9291.0
2018-12-31,894.0,10185.0
2019-01-01,894.0,10185.0
2019-01-02,894.0,10185.0
2019-01-03,894.0,10185.0
2019-01-04,894.0,10185.0
2019-01-05,894.0,10185.0
2019-01-06,894.0,10185.0
2019-01-07,894.0,10185.0
2019-01-08,894.0,10185.0
2019-01-09,894.0,10185.0
2019-01-10,894.0,10185.0
2019-01-11,894.0,10185.0
2019-01-12,894.0,10185.0
2019-01-13,894.0,10185.0
2019-01-14,894.0,10185.0
2019-01-15,894.0,10185.0
2019-01-16,894.0,10185.0
2019-01-17,894.0,10185.0
2019-01-18,894.0,10185.0
2019-01-19,894.0,10185.0
2019-01-20,894.0,10185.0
2019-01-21,894.0,10185.0
2019-01-22,894.0,10185.0
2019-01-23,894.0,10185.0
2019-01-24,894.0,10185.0
2019-01-25,894.0,10185.0
2019-01-26,894.0,10185.0
2019-01-27,894.0,10185.0
2019-01-28,894.0,10185.0
2019-01-29,894.0,10185.0
2019-01-30,10.0,10195.0
2019-01-31,10.0,10195.0
2019-02-01,10.0,10195.0
2019-02-02,10.0,10195.0
2019-02-03,10.0,10195.0
2019-02-04,10.0,10195.0
2019-02-05,10.0,10195.0
2019-02-06,10.0,10195.0
2019-02-07,10.0,10195.0
2019-02-08,10.0,10195.0
2019-02-09,10.0,10195.0
2019-02-10,10.0,10195.0
2019-02-11,10.0,10195.0
2019-02-12,10.0,10195.0
2019-02-13,10.0,10195.0
2019-02-14,10.0,10195.0
2019-02-15,10.0,10195.0
2019-02-16,10.0,10195.0
2019-02-17,10.0,10195.0
2019-02-18,10.0,10195.0
2019-02-19,10.0,10195.0
2019-02-20,10.0,10195.0
2019-02-21,10.0,10195.0
2019-02-22,10.0,10195.0
2019-02-23,10.0,10195.0
2019-02-24,10.0,10195.0
2019-02-25,10.0,10195.0
2019-02-26,10.0,10195.0
2019-02-27,10.0,10195.0
2019-02-28,19.0,10214.0
2019-03-01,19.0,10214.0
2019-03-02,19.0,10214.0
2019-03-03,19.0,10214.0
2019-03-04,19.0,10214.0
2019-03-05,19.0,10214.0
2019-03-06,19.0,10214.0
2019-03-07,19.0,10214.0
2019-03-08,19.0,10214.0
2019-03-09,19.0,10214.0
2019-03-10,19.0,10214.0
2019-03-11,19.0,10214.0
2019-03-12,19.0,10214.0
2019-03-13,19.0,10214.0
2019-03-14,19.0,10214.0
2019-03-15,19.0,10214.0
